method,dim,dummy_k,dummy_sigma,recall@5,recall@10,latency_ms,dram_mb,security_mse
Raw,384,0,0.0,0.5772553058053057,0.6840401986901987,0.04341124999336898,7.32421875,5.041474365297373e-32
Vanilla ASPE,384,0,0.0,0.5772553058053057,0.6840401986901987,0.04308250002213754,7.32421875,5.170874006663854e-16
ASPE + Dummy,434,50,0.05,0.5782640359640359,0.6773870240870241,0.04358074997435324,8.27789306640625,6.361494749022305e-16
DCPE,384,0,0.0,0.5796021312021312,0.6732052780552781,0.04292066799825989,7.32421875,0.00035728864777357126
FHE (CKKS),384,0,0.0,0.5772553058053057,0.6840401986901987,79019.17416020297,1593.0843353271484,inf
