recall@5,recall@10,latency_ms,dram_mb,dim,dummy_k,dummy_sigma,distortion,distortion_norm
0.5769219724719724,0.6846068653568654,0.04416019999916898,7.51495361328125,394,10,0.01,0.00032235676189884543,0.002998205565918159
0.5818219724719724,0.685025912975913,0.04509639999741921,7.51495361328125,394,10,0.02,0.0012470377841964364,0.011598564284689184
0.5933029248529249,0.6860703574203575,0.057165999998687766,7.51495361328125,394,10,0.05,0.007913144305348396,0.07359930395272445
0.5534505439005438,0.6646585747585748,0.050524600002972875,7.51495361328125,394,10,0.1,0.031893279403448105,0.2966359609134155
0.5809219724719724,0.6846068653568653,0.04971540000406094,8.27789306640625,434,50,0.01,0.0007061516516841948,0.006567840550297565
0.5864719724719726,0.691125912975913,0.06883080000261543,8.27789306640625,434,50,0.02,0.0028285288717597723,0.026307842766243938
0.5775695915195915,0.6841348373848374,0.045516600002883933,8.27789306640625,434,50,0.05,0.01775333844125271,0.16512189108319533
0.47737673437673434,0.5803078532578533,0.05442340000445256,8.27789306640625,434,50,0.1,0.07078389823436737,0.6583534231252152
0.5845886391386391,0.6854259129759129,0.04375659999641357,9.2315673828125,484,100,0.01,0.0010045545641332865,0.009343253939242704
0.5786886391386392,0.6870401986901988,0.046852399995259475,9.2315673828125,484,100,0.02,0.003994784317910671,0.03715505921467457
0.570475147075147,0.6706783660783661,0.06173300000227754,9.2315673828125,484,100,0.05,0.024892305955290794,0.23152065997954768
0.34247861582861583,0.4412731046731046,0.051335200005269144,9.2315673828125,484,100,0.1,0.09951909631490707,0.9256164093748096
0.5800886391386391,0.6832735320235321,0.050926399999298155,11.138916015625,584,200,0.01,0.0014133844524621964,0.013145736752015453
0.5860497502497503,0.692137024087024,0.04927519999910146,11.138916015625,584,200,0.02,0.005673690233379602,0.0527703825314891
0.5482537185037185,0.6454092463092463,0.08581960000446998,11.138916015625,584,200,0.05,0.0352211594581604,0.32758821531618615
0.25719521034521037,0.3267832056832057,0.10693800000444753,11.138916015625,584,200,0.1,0.14158602058887482,1.3168763468314513
